season,team,qb_name,drafted_by_team,draft_team
2022,TB,T.Brady,False,NE
2022,TEN,R.Tannehill,False,MIA
2022,WAS,T.Heinicke,False,
2023,ARI,J.Dobbs,False,PIT
2023,ATL,D.Ridder,True,ATL
2023,BAL,L.Jackson,True,BAL
2023,BUF,J.Allen,True,BUF
2023,CAR,B.Young,True,CAR
2023,CHI,J.Fields,True,CHI
2023,CIN,J.Burrow,True,CIN
2023,CLE,D.Watson,False,HOU
2023,DAL,D.Prescott,True,DAL
2023,DEN,R.Wilson,False,SEA
2023,DET,J.Goff,False,LAR
2023,GB,J.Love,True,GB
2023,HOU,C.Stroud,True,HOU
2023,IND,G.Minshew,False,JAX
2023,JAX,T.Lawrence,True,JAX
2023,KC,P.Mahomes,True,KC
2023,LAR,M.Stafford,False,DET
2023,LAC,J.Herbert,True,LAC
2023,LV,A.O'Connell,True,LV
2023,MIA,T.Tagovailoa,True,MIA
2023,MIN,K.Cousins,False,WAS
2023,NE,M.Jones,True,NE
2023,NO,D.Carr,False,LV
2023,NYG,T.DeVito,False,
2023,NYJ,Z.Wilson,True,NYJ
2023,PHI,J.Hurts,True,PHI
2023,PIT,K.Pickett,True,PIT
2023,SEA,G.Smith,False,NYJ
2023,SF,B.Purdy,True,SF
2023,TB,B.Mayfield,False,CLE
2023,TEN,R.Tannehill,False,MIA
2023,WAS,S.Howell,True,WAS
2024,ARI,K.Murray,True,ARI
2024,ATL,K.Cousins,False,WAS
2024,BAL,L.Jackson,True,BAL
2024,BUF,J.Allen,True,BUF
2024,CAR,B.Young,True,CAR
2024,CHI,C.Williams,True,CHI
2024,CIN,J.Burrow,True,CIN
2024,CLE,J.Winston,False,TB
2024,DAL,D.Prescott,True,DAL
2024,DEN,B.Nix,True,DEN
2024,DET,J.Goff,False,LAR
2024,GB,J.Love,True,GB
2024,HOU,C.Stroud,True,HOU
2024,IND,A.Richardson,True,IND
2024,JAX,T.Lawrence,True,JAX
2024,KC,P.Mahomes,True,KC
2024,LAR,M.Stafford,False,DET
2024,LAC,J.Herbert,True,LAC
2024,LV,G.Minshew,False,JAX
2024,MIA,T.Tagovailoa,True,MIA
2024,MIN,S.Darnold,False,
2024,NE,D.Maye,True,NE
2024,NO,D.Carr,False,LV
2024,NYG,D.Jones,True,NYG
2024,NYJ,A.Rodgers,False,GB
2024,PHI,J.Hurts,True,PHI
2024,PIT,R.Wilson,False,SEA
2024,SEA,G.Smith,False,NYJ
2024,SF,B.Purdy,True,SF
2024,TB,B.Mayfield,False,CLE
2024,TEN,W.Levis,True,TEN
2024,WAS,J.Daniels,True,WAS
