team,qb_name,first_start_season,end_run_season,first_bench_season,tenure_seasons,gap_to_bench,drafted_by_team,draft_team,era_first_start
MIN,B.Favre,2009,2010,2011.0,2,2.0,False,ATL,2000s
MIN,C.Ponder,2011,2013,2014.0,3,3.0,False,,2010s
MIN,T.Bridgewater,2014,2015,2016.0,2,2.0,True,MIN,2010s
MIN,S.Bradford,2016,2016,2017.0,1,1.0,False,LAR,2010s
MIN,C.Keenum,2017,2017,2018.0,1,1.0,False,,2010s
MIN,K.Cousins,2018,2023,2024.0,6,6.0,False,WAS,2010s
MIN,S.Darnold,2024,2024,,1,,False,,2020s
NE,D.Bledsoe,2000,2000,2001.0,1,1.0,True,NE,2000s
NE,T.Brady,2001,2007,2008.0,7,7.0,True,NE,2000s
NE,M.Cassel,2008,2008,2009.0,1,1.0,True,NE,2000s
NE,C.Newton,2020,2020,2021.0,1,1.0,False,CAR,2020s
NE,M.Jones,2021,2023,2024.0,3,3.0,True,NE,2020s
NE,D.Maye,2024,2024,,1,,True,NE,2020s
NO,J.Blake,2000,2000,2001.0,1,1.0,False,NYJ,2000s
NO,A.Brooks,2001,2005,2006.0,5,5.0,False,GB,2000s
NO,D.Brees,2006,2020,2021.0,15,15.0,False,LAC,2000s
NO,J.Winston,2021,2021,2022.0,1,1.0,False,TB,2020s
NO,A.Dalton,2022,2022,2023.0,1,1.0,False,CIN,2020s
NO,D.Carr,2023,2024,,2,,False,LV,2020s
NYG,K.Collins,2000,2000,2001.0,1,1.0,False,CAR,2000s
NYG,K. Collins,2001,2001,2002.0,1,1.0,False,,2000s
NYG,K.Warner,2004,2004,2005.0,1,1.0,False,,2000s
NYG,E.Manning,2005,2018,2019.0,14,14.0,False,LAC,2000s
NYG,D.Jones,2019,2022,2023.0,4,4.0,True,NYG,2010s
NYG,T.DeVito,2023,2023,2024.0,1,1.0,False,,2020s
NYJ,V.Testaverde,2000,2001,2002.0,2,2.0,False,TB,2000s
NYJ,C.Pennington,2002,2004,2005.0,3,3.0,True,NYJ,2000s
NYJ,B.Bollinger,2005,2005,2006.0,1,1.0,True,NYJ,2000s
NYJ,B.Favre,2008,2008,2009.0,1,1.0,False,ATL,2000s
NYJ,M.Sanchez,2009,2012,2013.0,4,4.0,True,NYJ,2000s
NYJ,G.Smith,2013,2014,2015.0,2,2.0,True,NYJ,2010s
NYJ,R.Fitzpatrick,2015,2016,2017.0,2,2.0,False,LAR,2010s
NYJ,J.McCown,2017,2017,2018.0,1,1.0,False,ARI,2010s
NYJ,S.Darnold,2018,2020,2021.0,3,3.0,False,,2010s
NYJ,Z.Wilson,2021,2023,2024.0,3,3.0,True,NYJ,2020s
NYJ,A.Rodgers,2024,2024,,1,,False,GB,2020s
PHI,D.McNabb,2000,2009,2010.0,10,10.0,True,PHI,2000s
PHI,M.Vick,2010,2012,2013.0,3,3.0,False,ATL,2010s
PHI,N.Foles,2013,2013,2014.0,1,1.0,True,PHI,2010s
PHI,M.Sanchez,2014,2014,2015.0,1,1.0,False,NYJ,2010s
PHI,S.Bradford,2015,2015,2016.0,1,1.0,False,LAR,2010s
PHI,C.Wentz,2016,2020,2021.0,5,5.0,True,PHI,2010s
PHI,J.Hurts,2021,2024,,4,,True,PHI,2020s
PIT,K.Stewart,2000,2001,2002.0,2,2.0,False,,2000s
PIT,T.Maddox,2002,2002,2003.0,1,1.0,False,,2000s
PIT,T. Maddox,2003,2003,2004.0,1,1.0,False,,2000s
PIT,B.Roethlisberger,2004,2018,2019.0,15,15.0,True,PIT,2000s
PIT,M.Rudolph,2019,2019,2020.0,1,1.0,True,PIT,2010s
PIT,K.Pickett,2022,2023,2024.0,2,2.0,True,PIT,2020s
PIT,R.Wilson,2024,2024,,1,,False,SEA,2020s
SEA,J.Kitna,2000,2000,2001.0,1,1.0,False,,2000s
SEA,M.Hasselbeck,2001,2007,2008.0,7,7.0,False,GB,2000s
SEA,S.Wallace,2008,2008,2009.0,1,1.0,True,SEA,2000s
SEA,T.Jackson,2011,2011,2012.0,1,1.0,False,MIN,2010s
SEA,R.Wilson,2012,2021,2022.0,10,10.0,True,SEA,2010s
SEA,G.Smith,2022,2024,,3,,False,NYJ,2020s
SF,J.Garcia,2000,2003,2004.0,4,4.0,False,,2000s
SF,T.Rattay,2004,2004,2005.0,1,1.0,True,SF,2000s
SF,A.Smith,2005,2007,2008.0,3,3.0,True,SF,2000s
SF,S.Hill,2008,2008,2009.0,1,1.0,False,,2000s
SF,C.Kaepernick,2013,2016,2017.0,4,4.0,False,,2010s
SF,C.Beathard,2017,2017,2018.0,1,1.0,True,SF,2010s
SF,N.Mullens,2018,2018,2019.0,1,1.0,False,,2010s
SF,J.Garoppolo,2019,2019,2020.0,1,1.0,False,NE,2010s
SF,B.Purdy,2023,2024,,2,,True,SF,2020s
TB,S.King,2000,2000,2001.0,1,1.0,True,TB,2000s
TB,B.Johnson,2001,2003,2004.0,3,3.0,False,MIN,2000s
TB,B.Griese,2004,2004,2005.0,1,1.0,False,DEN,2000s
TB,C.Simms,2005,2005,2006.0,1,1.0,True,TB,2000s
TB,B.Gradkowski,2006,2006,2007.0,1,1.0,True,TB,2000s
TB,J.Garcia,2007,2008,2009.0,2,2.0,False,,2000s
TB,J.Freeman,2009,2012,2013.0,4,4.0,True,TB,2000s
TB,M.Glennon,2013,2013,2014.0,1,1.0,True,TB,2010s
TB,J.McCown,2014,2014,2015.0,1,1.0,False,ARI,2010s
TB,J.Winston,2015,2019,2020.0,5,5.0,True,TB,2010s
TB,T.Brady,2020,2022,2023.0,3,3.0,False,NE,2020s
TB,B.Mayfield,2023,2024,,2,,False,CLE,2020s
TEN,S.McNair,2000,2003,2004.0,4,4.0,True,TEN,2000s
TEN,B.Volek,2004,2004,2005.0,1,1.0,False,,2000s
TEN,V.Young,2006,2007,2008.0,2,2.0,True,TEN,2000s
TEN,K.Collins,2008,2008,2009.0,1,1.0,False,CAR,2000s
TEN,M.Hasselbeck,2011,2011,2012.0,1,1.0,False,GB,2010s
TEN,J.Locker,2012,2012,2013.0,1,1.0,False,,2010s
TEN,R.Fitzpatrick,2013,2013,2014.0,1,1.0,False,LAR,2010s
TEN,C.Whitehurst,2014,2014,2015.0,1,1.0,False,SEA,2010s
TEN,M.Mariota,2015,2018,2019.0,4,4.0,True,TEN,2010s
TEN,R.Tannehill,2019,2023,2024.0,5,5.0,False,MIA,2010s
TEN,W.Levis,2024,2024,,1,,True,TEN,2020s
WAS,B.Johnson,2000,2000,2001.0,1,1.0,False,MIN,2000s
WAS,T.Banks,2001,2001,2002.0,1,1.0,False,LAR,2000s
WAS,S.Matthews,2002,2002,2003.0,1,1.0,False,CHI,2000s
WAS,P.Ramsey,2003,2004,2005.0,2,2.0,True,WAS,2000s
WAS,M.Brunell,2005,2006,2007.0,2,2.0,False,GB,2000s
WAS,J.Campbell,2007,2009,2010.0,3,3.0,True,WAS,2000s
WAS,D.McNabb,2010,2010,2011.0,1,1.0,False,PHI,2010s
WAS,R.Grossman,2011,2011,2012.0,1,1.0,False,CHI,2010s
WAS,R.Griffin,2012,2014,2015.0,3,3.0,True,WAS,2010s
WAS,K.Cousins,2015,2017,2018.0,3,3.0,True,WAS,2010s
WAS,A.Smith,2018,2018,2019.0,1,1.0,False,SF,2010s
WAS,C.Keenum,2019,2019,2020.0,1,1.0,False,,2010s
WAS,T.Heinicke,2021,2022,2023.0,2,2.0,False,,2020s
WAS,S.Howell,2023,2023,2024.0,1,1.0,True,WAS,2020s
WAS,J.Daniels,2024,2024,,1,,True,WAS,2020s
